2019-Oct-16 03:12:15.586 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerInitializerConfiguration - Started Eureka Server
2019-Oct-16 03:12:15.709 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2019-Oct-16 03:12:15.721 INFO  [main] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8081
2019-Oct-16 03:12:15.737 INFO  [main] c.l.a.AppApplication - Started AppApplication in 28.125 seconds (JVM running for 29.765)
2019-Oct-16 03:13:15.516 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2019-Oct-16 03:14:15.516 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2019-Oct-16 03:15:15.516 INFO  [Eureka-EvictionTimer] c.n.e.r.AbstractInstanceRegistry - Running the evict task with compensationTime 0ms
2019-Oct-16 03:15:51.462 INFO  [Thread-15] o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application DISCOVERY-SERVICE with eureka with status DOWN
2019-Oct-16 03:15:51.722 INFO  [Thread-15] c.n.e.DefaultEurekaServerContext - Shutting down ...
2019-Oct-16 03:15:51.854 INFO  [Thread-15] c.n.e.DefaultEurekaServerContext - Shut down
2019-Oct-16 03:15:52.033 INFO  [Thread-15] o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-Oct-16 03:15:52.393 INFO  [Thread-15] c.n.d.DiscoveryClient - Shutting down DiscoveryClient ...
2019-Oct-16 03:15:52.394 INFO  [Thread-15] c.n.d.DiscoveryClient - Completed shut down of DiscoveryClient
2019-Oct-16 03:16:25.814 ERROR [main] o.s.b.c.l.LoggingApplicationListener - Cannot set level 'ON' for 'com.netflix.eureka'
2019-Oct-16 03:16:25.814 ERROR [main] o.s.b.c.l.LoggingApplicationListener - Cannot set level 'ON' for 'com.netflix.discovery'
2019-Oct-16 03:16:25.864 INFO  [main] c.l.a.AppApplication - No active profile set, falling back to default profiles: default
2019-Oct-16 03:16:27.952 WARN  [main] o.s.b.a.e.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-Oct-16 03:16:28.740 INFO  [main] o.s.c.c.s.GenericScope - BeanFactory id=27878294-b362-3f48-b73a-477b5dc03d46
2019-Oct-16 03:16:29.179 INFO  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a88d0b34] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-Oct-16 03:16:30.600 INFO  [main] o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2019-Oct-16 03:16:30.763 INFO  [main] o.a.c.c.StandardService - Starting service [Tomcat]
2019-Oct-16 03:16:30.768 INFO  [main] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.14]
2019-Oct-16 03:16:30.803 INFO  [main] o.a.c.c.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib]
2019-Oct-16 03:16:31.049 INFO  [main] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2019-Oct-16 03:16:31.051 INFO  [main] o.s.w.c.ContextLoader - Root WebApplicationContext: initialization completed in 5142 ms
2019-Oct-16 03:16:31.447 WARN  [main] c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-Oct-16 03:16:31.448 INFO  [main] c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-Oct-16 03:16:31.520 INFO  [main] c.n.c.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@f14a7d4
2019-Oct-16 03:16:33.080 INFO  [main] c.s.j.s.i.a.WebApplicationImpl - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2019-Oct-16 03:16:33.273 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-Oct-16 03:16:33.277 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-Oct-16 03:16:33.716 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-Oct-16 03:16:33.717 INFO  [main] c.n.d.p.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-Oct-16 03:16:34.545 WARN  [main] c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-Oct-16 03:16:34.546 INFO  [main] c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-Oct-16 03:16:35.017 INFO  [main] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-Oct-16 03:16:36.470 INFO  [main] o.s.c.n.e.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-Oct-16 03:16:36.579 INFO  [main] c.n.d.DiscoveryClient - Initializing Eureka in region us-east-1
2019-Oct-16 03:16:36.580 INFO  [main] c.n.d.DiscoveryClient - Client configured to neither register nor query for data.
2019-Oct-16 03:16:36.612 INFO  [main] c.n.d.DiscoveryClient - Discovery Client initialized at timestamp 1571195796609 with initial instances count: 0
2019-Oct-16 03:16:36.740 INFO  [main] c.n.e.DefaultEurekaServerContext - Initializing ...
2019-Oct-16 03:16:36.748 WARN  [main] c.n.e.c.PeerEurekaNodes - The replica size seems to be empty. Check the route 53 DNS Registry
2019-Oct-16 03:16:36.802 INFO  [main] c.n.e.r.AbstractInstanceRegistry - Finished initializing remote region registries. All known remote regions: []
2019-Oct-16 03:16:36.805 INFO  [main] c.n.e.DefaultEurekaServerContext - Initialized
2019-Oct-16 03:16:36.838 INFO  [main] o.s.b.a.e.w.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-Oct-16 03:16:37.079 INFO  [main] o.s.c.n.e.s.EurekaServiceRegistry - Registering application DISCOVERY-SERVICE with eureka with status UP
2019-Oct-16 03:16:37.094 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Setting the eureka configuration..
2019-Oct-16 03:16:37.115 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Eureka data center value eureka.datacenter is not set, defaulting to default
2019-Oct-16 03:16:37.117 INFO  [Thread-13] o.s.c.n.e.s.EurekaServerBootstrap - Eureka environment value eureka.environment is not set, defaulting to test
